Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
Tênis Nike Air Force,Tênis Nike Air Force,"Descrição<br><br><br>Tênis Nike Air Force<br><br><br>A lenda sobrevive no<br><br>Tênis Nike Air Force<br><br>, uma versão em cano baixo do emblemático AF-1 que mistura o visual clássico e detalhes inovadores em um produto de muita qualidade.<br><br><br>Tênis Nike Air Force<br><br><br>Cabedal confeccionado em material sintético super resistente e durador. O <br>Tênis Nike<br><br>Air Force 1 TM Masculino Feminino conta com fechamento em cadarço com regulagem. Traz o logotipo da marca bordado nas laterais e também na língua e parte traseira Marcando firma a marca NIKE. Forro em nylon com reforço acolchoado no calcanhar assim firmando mais seu pé. Palmilha em EVA super macia e solado blaqueado em toda a sola para o maximo de resistência  “Costura por toda a lateral garantindo mais durabilidade”.<br><br><br><br><br><br>Tênis Nike Air Force<br><br><br>Indicado:<br><br>Dia a dia, para corrida, para caminhada<br><br><br>Cabedal:<br><br>Material sintético de alta qualidade<br><br><br>Solado:<br><br>Borracha TR anti derrapante<br><br><br>Ajuste: em cadarço<br><br><br>Garantia:<br><br>Contra de defeitos de fabricação<br><br><br>Tenho duvidas…<br><br><br>1)Que garantia tenho da entrega do produto?<br><br><br>Alem de garantir 100% nossa entrega ou seu dinheiro de volta…também temos opção de compra no cartão pelo <br>PagSeguro<br>.<br><br><br>2)Qual a qualidade deste produto?<br><br><br>Só vendemos produto de primeira linha, a melhor qualidades que tem no mercado.<br><br><br>3)Ele vem na caixa da marca? <br><br><br>Todos nossos produtos vai em sua respectivas caixa e completo.<br><br><br>4)Tem garantia o produto ou posso trocar?<br><br><br>Tem sim, <br>30<br><br>dias de fabricação, contra defeito ou até mesmo sem defeito.Pode trocar por outro modelo se quiser, mais <br>lembrando<br><br>o frete é sempre por conta do cliente.<br><br><br>5) Tenho mais dúvidas como faço pra falar com vocês da LeveShoes?<br><br><br><br>Estamos aqui no Whatsapp <br>(37)991028165 <br><br>lê esperando para responder…<br><br><br>Temos varias marcas de tênis como Nike , adidas , mizuno , fila , vans , puma , new balance , prada , dolce gabbana , olimpikus , all star entre outras marcas.",Vendor Padrão,Vestuário e acessórios > Sapatos,tenis,tenis_nike,Color,Branca,Size,34,,179.90,,https://www.leveshoes.com.br/wp-content/uploads/2018/07/Tênis-Nike-Air-Force-1-TM-568x487.jpg,TRUE,shopify,100,continue,manual,TRUE,TRUE,FALSE,Tênis Nike Air Force,"Descrição<br><br><br>Tênis Nike Air Force<br><br><br>A lenda sobrevive no<br><br>Tênis Nike Air Force<br><br>, uma versão em cano baixo do emblemático AF-1 que mistura o visual clássico e detalhes inovadores em um produto de muita qualidade.<br><br><br>Tênis Nike Air Force<br><br><br>Cabedal confeccionado em material s",active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,35,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,36,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,37,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,38,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,39,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,40,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,41,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,42,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Branca,Size,43,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,34,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,35,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,36,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,37,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,38,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,39,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,40,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,41,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,42,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,Color,Preto,Size,43,,179.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2019/06/Tênis-Nike-Air-Force-1-TM-branco-3-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2019/06/Tênis-Nike-Air-Force-1-TM-branco-2-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2019/06/Tênis-Nike-Air-Force-1-TM-branco-4-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/07/Tênis-Nike-Air-Force-1-TM-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/07/Tênis-Nike-Air-Force-1-TM-branco-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/07/Tênis-Nike-Air-Force-1-TM-4-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Force,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/07/Tênis-Nike-Air-Force-1-TM-2-568x487.jpg,,,,,,,,,,,
Tênis Nike Air Max 270,Tênis Nike Air Max 270,"Descrição<br><br><br>Tênis Nike Air Max 270<br><br><br><br><br>O Tênis Nike Air Max 270 com nova Bolha Ar Gel redesenhada que garante maior amortecimento e muita mais resistência para seus pés , focada toda no calcanhar. A forma como de uma bota da um perfeito ajuste. Air Max a maior já criada pela <br>Nike<br><br>focada no calcanhar, o Tênis Nike Air Max 270  é visível em sua caminhada. Baseado no tênis <br>Air Max<br><br>icônicos dos anos 90, um solado com durabilidade e flexibilidade. Com alça de  fácil colocação e retirada no calcanhar. Sola em Micro muito macio e flexivel. Produto de Primeira linha.<br><br><br><br><br><br><br><br><br><br><br>Nome:<br><br>Tênis Nike Air Max 270<br><br><br>Gênero:<br><br>Masculino Feminino<br><br><br>Indicado para<br>: Corrida<br><br><br>Categoria<br>: Amortecimento Estável<br><br><br>Terreno<br>: Rua ou Esteira<br><br><br><br><br>Tenho duvidas…<br><br><br>1)Que garantia tenho da entrega do produto?<br><br><br>Alem de garantir 100% nossa entrega ou seu dinheiro de volta…também temos opção de compra no cartão               pelo <br>PagSeguro<br>.<br><br><br>2)Qual a qualidade deste produto?<br><br><br>Só vendemos produto de primeira linha, a melhor qualidades que tem no mercado.<br><br><br>3)Ele vem na caixa da marca? <br><br><br>Todos nossos produtos vai em sua respectivas caixa e completo.<br><br><br>4)Tem garantia o produto ou posso trocar?<br><br><br>Tem sim, <br>30<br><br>dias de fabricação, contra defeito ou até mesmo sem defeito.Pode trocar por outro modelo se                 quiser, mais <br>lembrando<br><br>o frete é sempre por conta do cliente.<br><br><br>5) Tenho mais dúvidas como faço pra falar com vocês da LeveShoes?<br><br><br><br>Estamos aqui no Whatsapp <br>(37)92000-0762 <br><br>lê esperando para responder.",Vendor Padrão,Vestuário e acessórios > Sapatos,tenis,tenis_nike,Color,Azul,Size,38,,159.90,,https://www.leveshoes.com.br/wp-content/uploads/2018/09/07-568x663.jpeg,TRUE,shopify,100,continue,manual,TRUE,TRUE,FALSE,Tênis Nike Air Max 270,"Descrição<br><br><br>Tênis Nike Air Max 270<br><br><br><br><br>O Tênis Nike Air Max 270 com nova Bolha Ar Gel redesenhada que garante maior amortecimento e muita mais resistência para seus pés , focada toda no calcanhar. A forma como de uma bota da um perfeito ajuste. Air Max a maior já criada pela <br>Nike<br><br>foca",active
Tênis Nike Air Max 270,,,,,,,Color,Azul,Size,39,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Azul,Size,40,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Azul,Size,41,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Azul,Size,42,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Azul,Size,43,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Branco-Preto,Size,38,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Branco-Preto,Size,39,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Branco-Preto,Size,40,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Branco-Preto,Size,41,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Branco-Preto,Size,42,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Branco-Preto,Size,43,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Preto,Size,38,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Preto,Size,39,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Preto,Size,40,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Preto,Size,41,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Preto,Size,42,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,Color,Preto,Size,43,,159.90,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Air Max 270,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/07/Atacado-Tenis-Masculino-Nike-Air-Max-270-Ar-Gel-7-568x757.jpeg,,,,,,,,,,,
Tênis Nike Air Max 270,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/09/04-568x757.jpeg,,,,,,,,,,,
Tênis Nike Air Max 270,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2018/09/07-568x663.jpeg,,,,,,,,,,,
