Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
Tênis Nike Shox Junior,Tênis Nike Shox Junior,"Descrição<br><br><br>Tênis Nike Shox Junior<br><br><br>O Tênis Nike Shox Junior apresenta colunas no calcanhar que proporcionam amortecimento  resiliente para conforto todos os dias. Pronto para todo tipo de aventuras em sua vida, como dirigir , academia, esportes trabalho<br><br><br> <br><br><br>BENEFÍCIOS<br><br><br> <br><br><br><br><br>Sistema do Tênis Nike Shox Junior de quatro colunas para responsividade com leveza.<br><br><br>Mesh com camadas sintéticas proporciona  suporte respirável.<br><br><br>A amarração envolve o pé para um ajuste seguro e perfeito.<br><br><br>Amortecimento de espuma para conforto leve.<br><br><br>Padrão de borracha durável para tração.<br><br><br><br><br> <br><br><br>Todo o conforto do tênis nike para trazer todo o confortos para seus pé, com o sistema de 4 molas para combate a impacto para corridas e grandes caminhas com seu Tênis Nike Shox Junior.<br><br><br><br><br>Todo o conforto do tênis nike para trazer todo o confortos para seus pé, com o sistema de 4 molas para combate a impacto para corridas e grandes caminhas com seu Tênis Nike Shox Junior.",Vendor Padrão,Vestuário e acessórios > Sapatos,tenis,tenis,Color,Amarelo,Size,38,,189.00,,https://www.leveshoes.com.br/wp-content/uploads/2017/11/Tênis-Nike-Shox-Júnior-4-Molas-Masculino-Promoção-Imperdível2-568x427.jpg,TRUE,shopify,100,continue,manual,TRUE,TRUE,FALSE,Tênis Nike Shox Junior,"Descrição<br><br><br>Tênis Nike Shox Junior<br><br><br>O Tênis Nike Shox Junior apresenta colunas no calcanhar que proporcionam amortecimento  resiliente para conforto todos os dias. Pronto para todo tipo de aventuras em sua vida, como dirigir , academia, esportes trabalho<br><br><br> <br><br><br>BENEFÍCIOS<br><br><br>",active
Tênis Nike Shox Junior,,,,,,,Color,Amarelo,Size,39,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Amarelo,Size,40,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Amarelo,Size,41,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Amarelo,Size,42,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Amarelo,Size,43,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Branco,Size,38,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Branco,Size,39,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Branco,Size,40,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Nike Shox Junior,,,,,,,Color,Branco,Size,41,,189.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
